Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
RCD Mallorca,5,Celta de Vigo,1,33
CD Leganés,0,Sevilla FC,3,33
FC Barcelona,2,Atlético Madrid,2,33
Alavés,0,Granada CF,2,33
Valencia,0,Athletic,2,33
Real Betis,0,Villarreal,2,33
Real Valladolid,0,Levante,0,33
SD Eibar,0,CA Osasuna,2,33
Real Sociedad,2,Espanyol,1,33
Real Madrid,1,Getafe,0,33
Atlético Madrid,3,RCD Mallorca,0,34
Celta de Vigo,1,Real Betis,1,34
Real Valladolid,1,Alavés,0,34
Granada CF,2,Valencia,2,34
Athletic,0,Real Madrid,1,34
Espanyol,0,CD Leganés,1,34
CA Osasuna,0,Getafe,0,34
Villarreal,1,FC Barcelona,4,34
Levante,1,Real Sociedad,1,34
Sevilla FC,1,SD Eibar,0,34
Valencia,2,Real Valladolid,1,35
Celta de Vigo,1,Atlético Madrid,1,35
Real Betis,3,CA Osasuna,0,35
Getafe,1,Villarreal,3,35
FC Barcelona,1,Espanyol,0,35
SD Eibar,0,CD Leganés,0,35
RCD Mallorca,2,Levante,0,35
Athletic,1,Sevilla FC,2,35
Real Sociedad,2,Granada CF,3,35
Real Madrid,2,Alavés,0,35
CA Osasuna,2,Celta de Vigo,1,36
Real Valladolid,0,FC Barcelona,1,36
Atlético Madrid,1,Real Betis,0,36
Espanyol,0,SD Eibar,2,36
Levante,1,Athletic,2,36
CD Leganés,1,Valencia,0,36
Sevilla FC,2,RCD Mallorca,0,36
Alavés,0,Getafe,0,36
Villarreal,1,Real Sociedad,2,36
Granada CF,1,Real Madrid,2,36
SD Eibar,3,Real Valladolid,1,37
Athletic,0,CD Leganés,2,37
FC Barcelona,1,CA Osasuna,2,37
Real Betis,1,Alavés,2,37
Celta de Vigo,2,Levante,3,37
Getafe,0,Atlético Madrid,2,37
RCD Mallorca,1,Granada CF,2,37
Real Madrid,2,Villarreal,1,37
Real Sociedad,0,Sevilla FC,0,37
Valencia,1,Espanyol,0,37
Alavés,0,FC Barcelona,5,38
Villarreal,4,SD Eibar,0,38
Real Valladolid,2,Real Betis,0,38
CD Leganés,2,Real Madrid,2,38
Sevilla FC,1,Valencia,0,38
Espanyol,0,Celta de Vigo,0,38
Levante,1,Getafe,0,38
Granada CF,4,Athletic,0,38
CA Osasuna,2,RCD Mallorca,2,38
Atlético Madrid,1,Real Sociedad,1,38
